"source_id","asset_name","asset_unit","role","canonical_url","license_name","license_url_or_terms","access_terms_url","proposed_status","evidence_to_capture_at_acquisition","checked_date","notes"
"ASV19-LA-PA","ASVspoof 2019 LA/PA","audio/database","comparison source","https://datashare.ed.ac.uk/items/31074a11-b6f6-4e92-a4ad-07093f8c0c45","ODC-By 1.0","https://datashare.ed.ac.uk/server/api/core/bitstreams/60c7de6d-37d3-45c1-b52e-9f18b0338e47/content","https://datashare.ed.ac.uk/items/31074a11-b6f6-4e92-a4ad-07093f8c0c45","CONDITIONAL","license file/hash; VCTK provenance; written transfer permission","2026-08-30","not real PA"
"ASV19-REALPA","ASVspoof 2019 real PA","audio/database","excluded comparison","https://www.asvspoof.org/Database_ASVspoof2019_real_PA_License.pdf","bespoke restricted license","https://www.asvspoof.org/Database_ASVspoof2019_real_PA_License.pdf","https://www.asvspoof.org/database","NO-GO","none; do not request/download","2026-08-30","transfer ban and deletion duty"
"WAVEFAKE-AUDIO","WaveFake","generated audio ZIP","fake speech training","https://zenodo.org/records/5642694","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0/legalcode","https://zenodo.org/records/5642694","GO","Zenodo version/DOI/hash; datasheet; attribution/license/source/change records","2026-08-30","BY-SA-only mixing stratum"
"WAVEFAKE-CODE","WaveFake","source code","generation/provenance reference","https://github.com/RUB-SysSec/WaveFake","MIT","https://github.com/RUB-SysSec/WaveFake/blob/main/LICENSE","https://github.com/RUB-SysSec/WaveFake","GO","git commit; LICENSE; dependency licenses","2026-08-30","MIT does not license audio"
"LIBRISPEECH","LibriSpeech","audio corpus","real speech training","https://www.openslr.org/12","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/legalcode","https://www.openslr.org/12","CONDITIONAL","release archive/hash; title/work/speaker; Korean public-domain screen; attribution","2026-08-30","LibriVox warns US-only public-domain assumption"
"LJSPEECH","LJSpeech","audio corpus","matched real speech control","https://keithito.com/LJ-Speech-Dataset/","public domain","https://keithito.com/LJ-Speech-Dataset/","https://keithito.com/LJ-Speech-Dataset/","GO","archive/hash; canonical source; change log; WaveFake source-pair mapping","2026-08-30","single speaker; pair with WaveFake English subset and add diverse real speech"
"LIBRIVOX-PD","LibriVox","public-domain policy","LibriSpeech upstream rights check","https://librivox.org/pages/public-domain/","US public-domain policy; jurisdiction warning","https://librivox.org/pages/public-domain/","https://librivox.org/pages/public-domain/","REFERENCE","page snapshot; title-level author/translator death-year evidence","2026-08-30","outside the US users must verify local status"
"MEDLEYDB","MedleyDB","multitrack audio/stems","real music training","https://medleydb.weebly.com/downloads.html","CC BY-NC-SA 4.0 plus no-republish request","https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode","https://medleydb.weebly.com/downloads.html","CONDITIONAL","approved access record; written contest/judge consent; per-track artist/source/license/hash","2026-08-30","BY-NC-SA isolated stratum"
"MUSDB18","MUSDB18","full audio/stems","excluded real music source","https://sigsep.github.io/datasets/musdb.html","academic-only and per-track mixed/restricted","https://raw.githubusercontent.com/sigsep/website/master/content/datasets/assets/tracklist.csv","https://sigsep.github.io/datasets/musdb.html","NO-GO","none for full set","2026-08-30","most provenance cannot be submitted safely"
"AUDIOCRAFT-CODE","Meta AudioCraft","source code","MusicGen inference code","https://github.com/facebookresearch/audiocraft","MIT","https://github.com/facebookresearch/audiocraft/blob/main/LICENSE","https://github.com/facebookresearch/audiocraft","GO","git commit; LICENSE; dependency lockfile/licenses","2026-08-30","separate from weights and outputs"
"MUSICGEN-WEIGHTS","Meta MusicGen Small","model weights","fake music generator","https://huggingface.co/facebook/musicgen-small","CC BY-NC 4.0","https://github.com/facebookresearch/audiocraft/blob/main/LICENSE_weights","https://huggingface.co/facebook/musicgen-small","GO","model revision/hash; weight license; attribution/change records","2026-08-30","DACON permits public resources allowing at least noncommercial use; generated output remains a separate conditional asset"
"MUSICGEN-OUTPUT","Meta MusicGen Small","generated WAV","fake music training","https://github.com/facebookresearch/audiocraft/blob/main/model_cards/MUSICGEN_MODEL_CARD.md","not explicitly stated","https://github.com/facebookresearch/audiocraft/blob/main/model_cards/MUSICGEN_MODEL_CARD.md","https://huggingface.co/facebook/musicgen-small","CONDITIONAL","Meta output-license/judge-transfer answer; prompt/seed/params/revision/hash","2026-08-30","do not infer weight license applies to output"
"FAKEMUSICCAPS-V2","FakeMusicCaps v2","Zenodo audio ZIP","excluded fake music source","https://zenodo.org/records/15063698","no Zenodo Rights/License shown; GitHub CC BY-NC scope unclear","https://github.com/polimi-ispl/FakeMusicCaps/blob/main/LICENSE","https://zenodo.org/records/15063698","NO-GO","authors' explicit audio-ZIP license; model-by-model output rights; caption rights; transfer permission","2026-08-30","do not rely on unofficial Apache metadata"
"SAOS-WEIGHTS","Stable Audio Open Small","gated model/materials","alternative fake music generator","https://huggingface.co/stabilityai/stable-audio-open-small","Stability AI Community License","https://huggingface.co/stabilityai/stable-audio-open-small/blob/main/LICENSE","https://huggingface.co/stabilityai/stable-audio-open-small","CONDITIONAL","entrant account acceptance; license/AUP snapshot; model revision/hash; judge-delivery confirmation","2026-08-30","0.5B; up to 11s; output ownership clause; NC use is permitted"
"SAOS-OUTPUT","Stable Audio Open Small","generated audio output","alternative fake music training","https://huggingface.co/stabilityai/stable-audio-open-small","output owned by user as between parties to extent law allows; AUP/law restrictions","https://huggingface.co/stabilityai/stable-audio-open-small/blob/main/LICENSE","https://stability.ai/use-policy","CONDITIONAL","prompt/seed/params/revision/hash; AUP check; judge-transfer confirmation","2026-08-30","clearer than MusicGen but no infringement warranty"
"FMA-SUBSET","Free Music Archive","selected track audio","alternative real music training","https://github.com/mdeff/fma","artist-chosen per-track CC license","https://github.com/mdeff/fma","https://github.com/mdeff/fma","CONDITIONAL","tracks.csv row; current track page; artist/title/license URL; archive/hash; changes; license stratum","2026-08-30","allow CC0/BY/BY-SA/BY-NC/BY-NC-SA after per-track verification; exclude ND/custom/restricted/unknown; isolate incompatible SA strata"
